OBJECTID,ntd_id,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type_text,route_url,route_color,route_color_formatted,route_text_color,route_text_color_formatted,download_date,Shape__Length
34862,40022,124263,23625,MARTA,94,Northside Drive,,3,Bus,https://itsmarta.com/94.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.0954473568615663
34863,40022,124264,23626,MARTA,95,Metropolitan Parkway,,3,Bus,https://itsmarta.com/95.aspx,ff0000,"(255, 0, 0)",0,"(0, 0, 0)",12/02/2024,0.093751027121415
34864,40022,124265,23626,MARTA,95,Metropolitan Parkway,,3,Bus,https://itsmarta.com/95.aspx,ff0000,"(255, 0, 0)",0,"(0, 0, 0)",12/02/2024,0.111775041582548
34865,40022,124268,23628,MARTA,103,Peeler Road,,3,Bus,https://itsmarta.com/103.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.137384585556809
34866,40022,124269,23628,MARTA,103,Peeler Road,,3,Bus,https://itsmarta.com/103.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.117390724356957
34867,40022,124270,23629,MARTA,104,Winters Chapel Road,,3,Bus,https://itsmarta.com/104.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.0709281165171834
34868,40022,124271,23629,MARTA,104,Winters Chapel Road,,3,Bus,https://itsmarta.com/104.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.0384259267484422
34869,40022,124272,23630,MARTA,107,Glenwood,,3,Bus,https://itsmarta.com/107.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.234923526674377
34870,40022,124273,23630,MARTA,107,Glenwood,,3,Bus,https://itsmarta.com/107.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.22175341453034
34871,40022,124274,23631,MARTA,110,Peachtree Road / Buckhead,,3,Bus,https://itsmarta.com/110.aspx,ff8040,"(255, 128, 64)",0,"(0, 0, 0)",12/02/2024,0.114800717849469
34872,40022,124275,23631,MARTA,110,Peachtree Road / Buckhead,,3,Bus,https://itsmarta.com/110.aspx,ff8040,"(255, 128, 64)",0,"(0, 0, 0)",12/02/2024,0.111910626261057
34873,40022,124281,23633,MARTA,114,Columbia Drive,,3,Bus,https://itsmarta.com/114.aspx,ff8040,"(255, 128, 64)",0,"(0, 0, 0)",12/02/2024,0.136495438417137
34874,40022,124282,23633,MARTA,114,Columbia Drive,,3,Bus,https://itsmarta.com/114.aspx,ff8040,"(255, 128, 64)",0,"(0, 0, 0)",12/02/2024,0.133646319518574
34875,40022,124283,23633,MARTA,114,Columbia Drive,,3,Bus,https://itsmarta.com/114.aspx,ff8040,"(255, 128, 64)",0,"(0, 0, 0)",12/02/2024,0.132231263963518
34876,40022,124287,23635,MARTA,116,Redan Road,,3,Bus,https://itsmarta.com/116.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.197038662040383
34877,40022,124288,23635,MARTA,116,Redan Road,,3,Bus,https://itsmarta.com/116.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.194191418179007
34878,40022,124289,23635,MARTA,116,Redan Road,,3,Bus,https://itsmarta.com/116.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.19675627795658
34879,40022,124297,23638,MARTA,120,East Ponce De Leon Avenue,,3,Bus,https://itsmarta.com/120.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.146690182492954
34880,40022,124298,23638,MARTA,120,East Ponce De Leon Avenue,,3,Bus,https://itsmarta.com/120.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.14314735617782
34881,40022,124299,23639,MARTA,121,Memorial Drive / N Hairston Road,,3,Bus,https://itsmarta.com/121.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.15162460471292
34882,40022,124300,23639,MARTA,121,Memorial Drive / N Hairston Road,,3,Bus,https://itsmarta.com/121.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.161191848104936
34883,40022,124301,23639,MARTA,121,Memorial Drive / N Hairston Road,,3,Bus,https://itsmarta.com/121.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.159737005755055
34884,40022,124302,23639,MARTA,121,Memorial Drive / N Hairston Road,,3,Bus,https://itsmarta.com/121.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.165263176366992
34885,40022,124303,23640,MARTA,123,Church Street,,3,Bus,https://itsmarta.com/123.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.0725939774385412
34886,40022,124304,23640,MARTA,123,Church Street,,3,Bus,https://itsmarta.com/123.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.0756265795600175
34887,40022,124305,23641,MARTA,124,Pleasantdale Road,,3,Bus,https://itsmarta.com/124.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.137947614099888
34888,40022,124306,23641,MARTA,124,Pleasantdale Road,,3,Bus,https://itsmarta.com/124.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.125828212540791
34889,40022,124307,23641,MARTA,124,Pleasantdale Road,,3,Bus,https://itsmarta.com/124.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.144764037993258
34890,40022,124308,23641,MARTA,124,Pleasantdale Road,,3,Bus,https://itsmarta.com/124.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.131172118186283
